osm_id,osm_type,name,category,city,address,post code,website,lat,lon
7543973560,node,Pavillon Nautique,restaurant,Narbonne,,,,43.1429562,3.0065556
7686972120,node,Le Relais d'Aguilar,restaurant,Narbonne,,,,42.8898475,2.7239858
7711163097,node,Côté sud,restaurant,Narbonne,,,,43.1782367,3.1898491
7719971368,node,L'énigme,restaurant,Narbonne,61 Boulevard des Embruns,,https://menu.vazeepro.com/?id=QWHTLTVMQO&o=q,43.181524,3.1931317
7724469285,node,Pizza Jo,restaurant,Narbonne,,,,43.1070765,3.0874399
7792008226,node,NS Restauration,restaurant,Narbonne,,,,43.1613569,2.9883325
7810588086,node,La batteuse,restaurant,Narbonne,,,http://aubergelabatteuse.com/,42.862638,2.5648378
7820284320,node,La Casa,restaurant,Narbonne,"1 Avenue de la Falaise, Narbonne",,,43.1635021,3.1698717
7868213485,node,L'Estagnol,restaurant,Narbonne,12 Avenue Jean Carbonel,,,43.1077049,3.0883426
7954471887,node,Le Kat,restaurant,Narbonne,"Chemin des Coussoules, Leucate",,https://www.le-kat.com/,42.9435308,3.0334158
8234781270,node,Domaine Sarrat de Goundy,restaurant,Narbonne,"46 Avenue de Narbonne, Armissan",,,43.1971128,3.0700611
8234795428,node,La cantine d'Anatole,restaurant,Narbonne,"96 Avenue Anatole France, Narbonne",,,43.1883654,2.9882514
8266655918,node,Caffé Del Arte,restaurant,Narbonne,,,,43.2155191,3.0934081
8540600322,node,Rikou,restaurant,Narbonne,"2 Avenue de la Falaise, Leucate",,,42.9036457,3.0512399
8540600330,node,Bistroquet,restaurant,Narbonne,"55 Boulevard du Front de Mer, Leucate",,,42.9048732,3.0556444
8540600341,node,La Terrasse,restaurant,Narbonne,"1 Rue des Pins, Leucate",,,42.9060461,3.0560574
8820620157,node,Les copains d'abord,restaurant,Narbonne,Quai du Paurel-B,,,42.8566442,3.0363935
8921740694,node,Restaurant de la Marine,restaurant,Narbonne,3 Quai Jean Bouteille (plage),,,43.1703008,3.180371
8931157670,node,,restaurant,Narbonne,,,,42.8430114,3.0391844
9152103317,node,Le 89,restaurant,Narbonne,6 Cours de la République,,https://le89narbonne.eatbu.com/,43.1832134,3.0042297
9152109118,node,Le bistrot,restaurant,Narbonne,,,,43.1824017,3.0037985
9315809117,node,,hotel,Narbonne,,,,43.1687702,2.9842244
9418954511,node,Don Camillo,restaurant,Narbonne,3 Boulevard du General de Gaulle,,,43.1870007,3.0086066
9620868501,node,Entre mer et Garigue,restaurant,Narbonne,2 Avenue du Languedoc (plage),,,43.1596253,3.1652371
9651916282,node,Chez Manon,restaurant,Narbonne,"13 Boulevard de la Promenade, Lagrasse",,,43.0914875,2.6210053
9658532459,node,Ribau Thym,restaurant,Narbonne,,,,43.1070143,2.6343017
9670968219,node,Le Bastion,restaurant,Narbonne,"50 Boulevard de la Promenade, Lagrasse",,https://www.restaurant-bastion-lagrasse.fr/,43.0891029,2.6197069
9759274388,node,La Passerelle,restaurant,Narbonne,,,https://mauriciennecuisine.fr/,43.2823601,2.9178575
9875001734,node,Demi-lune,restaurant,Narbonne,,,,43.1903125,3.006366
9875001737,node,Pizza Time,restaurant,Narbonne,72 Boulevard Frederic Mistral,,,43.1890433,3.0051376
9881862539,node,Hôtel restaurant du port,hotel,Narbonne,,,,43.0235128,3.0411087
9916677323,node,Ma Pause Bio,restaurant,Narbonne,41 Rue Droite,,,43.1849922,3.0048837
9916677421,node,Poké Mum,restaurant,Narbonne,Rue Droite,,,43.184582,3.0047381
9929767359,node,La raviole,restaurant,Narbonne,,,,43.2009201,2.7600993
9929767364,node,Au cœur de l'Asie,restaurant,Narbonne,,,,43.2009158,2.7607396
9929878695,node,Le Don Papa,restaurant,Narbonne,,,,43.2007759,2.7624304
9931641608,node,Lo Tira Tap,restaurant,Narbonne,,,,43.2011386,2.7594661
9935567235,node,La cabane de Vincent Boniface,restaurant,Narbonne,,,https://www.boniface-coquillages.com/nos-points-de-vente/,42.885655,3.0504774
9965511061,node,La Peiriere,restaurant,Narbonne,,,,42.8827777,2.7182076
10030110149,node,Chez Lio,restaurant,Narbonne,,,,43.0986775,3.1094048
10030166520,node,La Caluche,restaurant,Narbonne,,,,43.0984228,3.1088946
10031383743,node,La Petite Brasserie,restaurant,Narbonne,1 Boulevard Victor Hugo,,,43.1061924,3.0864407
10559125201,node,Le maxim,restaurant,Narbonne,Gruissan,,,43.1086708,3.0934802
10559153018,node,Le stromboli,restaurant,Narbonne,"Quai des Palmiers, Gruissan",,,43.109721,3.0989298
10559153022,node,La croisette,restaurant,Narbonne,Gruissan,,,43.1092715,3.097623
10559153023,node,Le miam,restaurant,Narbonne,Gruissan,,,43.110605,3.0952653
10559153024,node,L'argonaute,restaurant,Narbonne,Gruissan,,,43.1102937,3.0958608
10567512924,node,Le napoli,restaurant,Narbonne,"Rue du Loch, Gruissan",,,43.1103325,3.0933636
10567512927,node,Il Téatro,restaurant,Narbonne,Gruissan,,,43.1093868,3.0973198
10567512929,node,Côte et plage,restaurant,Narbonne,,,,43.1096937,3.1027982
10567512930,node,La Cabane à Moules,restaurant,Narbonne,,,,43.1094489,3.1026453
10576260513,node,37°2,restaurant,Narbonne,,,,43.1098509,3.1003051
10583812215,node,L&L brasserie,restaurant,Narbonne,Gruissan,,,43.1085399,3.0938091
10698403428,node,Chez Norbert,restaurant,Narbonne,5 Boulevard de la Douane,,,43.1781311,3.1903334
10797100628,node,La Popote de Mimi,restaurant,Narbonne,22 Avenue de la Côte Revée,,https://fr.restaurantguru.com/La-popote-de-mimi-Leucate,42.9048837,3.0553997
10848330633,node,Pizza Giovanni,restaurant,Narbonne,,,,43.179746,3.0034092
10901211310,node,Chez Marius,restaurant,Narbonne,,,,43.1810903,3.003651
10901244971,node,Le Centaurée,restaurant,Narbonne,9 Cours Mirabeau,,,43.1818785,3.0047492
10907513091,node,Restaurant le Garganico,restaurant,Narbonne,12 Rue des Passerelles,,,43.1880848,3.0000198
10944158024,node,Galla Placidia,hotel,Narbonne,,,,43.1890357,3.0061689
11035479005,node,Cantemerle,restaurant,Narbonne,,,,43.166977,3.1768236
11105045405,node,La Table de Nicolas,restaurant,Narbonne,,,,43.1834892,3.005972
11118920128,node,La Table du Casino,restaurant,Narbonne,,,,43.2663035,2.8714684
11128983610,node,Chez Bembé,restaurant,Narbonne,1 Rue de l'Orbieu,,,43.1469635,2.7261221
11144881995,node,Portofino,restaurant,Narbonne,195 Avenue du Général de Gaulle,,,42.9064015,3.036097
11173900666,node,Royal Kebab,restaurant,Narbonne,,,,43.1801172,3.0016552
11173901601,node,Star Kebab,restaurant,Narbonne,25 Boulevard du Docteur Ferroul,,,43.180474,3.0046885
11174172350,node,King Kebab,restaurant,Narbonne,,,,43.1870884,3.0076196
11182024255,node,Papilles & nature,restaurant,Narbonne,"20 Place de la République, Leucate",,https://papilles-et-nature.eatbu.com/?lang=fr,42.9100595,3.0271672
11212701139,node,Buffet du Monde,restaurant,Narbonne,1 Avenue de la Coupe,,,43.1567807,2.9799693
